Date,Product,Category,Price,Cost,Quantity,Region,Revenue,Profit
180,5,0,289,278,11,3,3179,121
263,7,1,723,28,52,0,37596,36140
205,6,1,706,463,15,1,10590,3645
145,4,0,304,293,83,3,25232,913
9,2,0,735,603,7,2,5145,924
254,9,1,695,406,28,2,19460,8092
28,3,1,782,288,51,2,39882,25194
123,1,0,246,235,58,2,14268,638
45,2,1,967,340,5,0,4835,3135
259,3,0,400,389,5,3,2000,55
162,2,1,479,353,94,1,45026,11844
170,4,1,26,15,96,3,2496,1056
37,3,1,48,37,8,0,384,88
60,0,1,926,734,64,2,59264,12288
154,8,1,52,41,10,0,520,110
162,0,1,665,74,38,3,25270,22458
166,7,0,898,85,96,1,86208,78048
96,8,1,98,87,92,0,9016,1012
117,0,1,947,152,81,1,76707,64395
20,8,0,966,614,95,0,91770,33440
23,8,0,478,467,8,1,3824,88
7,6,0,589,426,25,1,14725,4075
109,1,1,557,314,73,2,40661,17739
242,1,0,501,490,66,1,33066,726
129,6,0,449,438,79,2,35471,869
172,2,1,757,300,50,3,37850,22850
54,5,1,304,111,67,3,20368,12931
206,2,1,535,276,49,2,26215,12691
47,3,1,996,631,36,2,35856,13140
116,3,0,118,107,68,0,8024,748
30,8,0,416,12,78,0,32448,31512
44,0,1,508,94,41,0,20828,16974
89,0,0,58,47,89,3,5162,979
206,1,0,290,279,62,0,17980,682
19,9,1,906,463,10,1,9060,4430
70,2,0,816,638,21,1,17136,3738
29,7,1,176,165,36,0,6336,396
248,4,0,94,83,12,1,1128,132
208,0,0,903,674,91,3,82173,20839
245,4,0,819,21,2,1,1638,1596
85,8,0,149,142,13,3,1937,91
255,4,1,706,313,53,2,37418,20829
162,7,1,993,302,32,2,31776,22112
132,6,0,103,92,95,2,9785,1045
157,7,0,41,30,16,2,656,176
205,4,1,478,467,32,1,15296,352
78,7,1,558,52,32,0,17856,16192
74,5,0,726,352,98,1,71148,36652
163,8,1,868,335,11,3,9548,5863
184,2,0,401,390,10,1,4010,110
263,6,0,767,373,15,1,11505,5910
138,0,1,459,436,17,3,7803,391
92,3,1,623,30,40,2,24920,23720
233,2,1,40,29,18,2,720,198
113,3,1,322,311,55,2,17710,605
157,8,1,995,345,73,0,72635,47450
223,6,0,888,126,25,3,22200,19050
164,1,1,974,133,59,3,57466,49619
118,0,1,103,92,78,1,8034,858
103,5,1,793,724,89,0,70577,6141
230,1,1,678,60,22,2,14916,13596
109,8,1,972,792,30,0,29160,5400
60,2,1,472,333,84,3,39648,11676
163,5,0,406,395,85,3,34510,935
124,7,1,526,150,44,1,23144,16544
72,4,0,276,265,32,1,8832,352
233,5,0,589,578,51,3,30039,561
37,8,0,911,343,46,2,41906,26128
192,9,0,953,382,21,2,20013,11991
214,4,0,546,535,99,0,54054,1089
72,3,1,181,170,32,3,5792,352
65,0,0,976,548,94,3,91744,40232
72,3,1,182,171,39,2,7098,429
53,5,1,851,760,12,2,10212,1092
129,3,1,812,165,47,3,38164,30409
72,8,1,811,300,18,1,14598,9198
1,7,0,543,532,21,3,11403,231
87,2,0,805,153,13,3,10465,8476
153,0,1,290,115,21,2,6090,3675
39,3,1,511,429,8,2,4088,656
251,3,1,227,216,46,1,10442,506
156,5,0,558,547,7,1,3906,77
157,2,0,603,11,23,0,13869,13616
83,1,1,79,68,96,3,7584,1056
87,3,0,449,438,75,2,33675,825
38,8,0,676,99,86,1,58136,49622
118,9,1,624,354,22,0,13728,5940
152,0,1,328,317,89,0,29192,979
109,3,1,539,468,22,2,11858,1562
138,8,0,610,272,92,2,56120,31096
175,8,0,46,35,29,0,1334,319
239,0,0,705,117,13,1,9165,7644
142,1,1,581,570,82,0,47642,902
126,8,1,218,48,2,3,436,340
80,9,1,406,168,29,3,11774,6902
180,8,0,368,357,85,2,31280,935
213,8,0,979,321,79,1,77341,51982
203,8,1,959,250,52,1,49868,36868
240,7,1,712,454,27,3,19224,6966
62,7,0,555,307,50,0,27750,12400
138,1,1,847,45,95,2,80465,76190
169,3,0,397,93,79,0,31363,24016
97,8,1,918,461,23,0,21114,10511
61,2,0,935,784,88,0,82280,13288
140,3,1,577,394,44,1,25388,8052
81,1,1,546,181,77,3,42042,28105
129,6,0,172,161,22,1,3784,242
241,3,1,753,694,43,3,32379,2537
256,3,0,225,214,37,2,8325,407
184,4,0,474,463,61,2,28914,671
100,5,0,292,150,97,0,28324,13774
177,4,0,913,127,56,3,51128,44016
254,9,0,255,244,3,3,765,33
99,7,0,871,735,63,3,54873,8568
100,7,1,759,229,19,0,14421,10070
259,5,0,540,35,23,0,12420,11615
139,0,0,697,530,29,2,20213,4843
224,0,0,963,792,30,1,28890,5130
85,1,0,975,19,39,3,38025,37284
26,5,1,850,387,25,3,21250,11575
247,3,0,745,642,8,1,5960,824
264,0,0,520,509,58,3,30160,638
86,8,1,136,125,16,0,2176,176
191,2,0,405,394,72,0,29160,792
102,3,1,363,161,1,3,363,202
216,9,0,603,592,5,0,3015,55
63,8,0,414,58,3,0,1242,1068
188,8,0,83,72,65,3,5395,715
177,5,1,736,302,4,2,2944,1736
97,1,1,740,589,99,1,73260,14949
254,9,0,91,59,96,0,8736,3072
71,0,0,808,673,64,2,51712,8640
43,5,0,293,282,98,0,28714,1078
1,0,0,339,328,89,0,30171,979
220,5,1,357,69,10,1,3570,2880
179,5,0,385,176,21,0,8085,4389
94,5,0,514,211,46,1,23644,13938
24,1,1,626,155,91,1,56966,42861
109,5,0,185,174,27,1,4995,297
5,6,0,563,448,66,2,37158,7590
163,2,1,30,19,41,3,1230,451
63,0,0,320,309,13,2,4160,143
99,3,0,748,696,9,3,6732,468
220,4,1,820,570,36,3,29520,9000
146,9,0,121,110,86,1,10406,946
88,7,0,444,117,90,0,39960,29430
103,1,1,411,235,58,1,23838,10208
39,3,0,798,682,54,0,43092,6264
77,8,1,233,222,12,3,2796,132
110,6,0,710,670,81,1,57510,3240
74,7,0,107,96,78,0,8346,858
51,4,0,572,441,14,2,8008,1834
72,3,1,420,409,34,0,14280,374
67,7,1,607,428,53,1,32171,9487
248,3,1,908,464,20,2,18160,8880
179,6,1,65,54,75,0,4875,825
159,4,1,691,532,16,0,11056,2544
71,8,0,482,471,95,0,45790,1045
63,5,1,611,599,70,0,42770,840
104,0,1,329,86,56,0,18424,13608
256,8,1,105,94,83,2,8715,913
247,5,1,111,100,58,3,6438,638
135,1,0,679,263,4,2,2716,1664
226,2,1,692,681,4,2,2768,44
112,9,1,733,329,20,2,14660,8080
146,9,0,955,272,10,3,9550,6830
115,0,0,947,606,24,1,22728,8184
110,4,0,261,250,99,3,25839,1089
48,6,1,884,563,26,2,22984,8346
210,4,0,21,10,37,0,777,407
200,6,0,244,233,85,0,20740,935
220,4,1,820,176,54,2,44280,34776
90,2,1,764,762,21,0,16044,42
136,1,1,992,468,74,2,73408,38776
85,1,0,945,289,38,0,35910,24928
21,5,1,948,709,46,3,43608,10994
122,7,1,608,311,4,1,2432,1188
15,1,1,135,124,60,1,8100,660
167,1,1,685,589,57,3,39045,5472
108,8,1,937,227,45,3,42165,31950
25,8,1,122,111,20,2,2440,220
161,5,0,213,202,17,2,3621,187
266,7,0,185,174,71,2,13135,781
36,0,0,890,176,4,0,3560,2856
189,8,0,109,98,93,2,10137,1023
205,0,1,705,45,14,3,9870,9240
18,3,0,141,130,3,1,423,33
158,8,0,162,151,88,0,14256,968
200,2,1,125,114,80,2,10000,880
208,7,1,906,685,58,0,52548,12818
61,5,1,447,82,55,0,24585,20075
206,3,0,324,313,4,2,1296,44
232,7,1,891,362,24,0,21384,12696
220,2,0,990,79,34,1,33660,30974
99,7,0,336,325,30,3,10080,330
2,2,0,982,717,82,3,80524,21730
22,2,1,654,643,19,1,12426,209
134,0,1,921,570,31,0,28551,10881
34,4,0,28,17,60,2,1680,660
11,3,1,793,526,60,0,47580,16020
118,7,1,92,81,19,1,1748,209
153,6,0,378,367,49,0,18522,539
108,3,0,242,169,63,3,15246,4599
31,4,1,435,158,83,0,36105,22991
4,3,1,572,561,22,1,12584,242
63,1,1,389,239,24,3,9336,3600
163,6,1,735,721,76,0,55860,1064
24,4,0,283,272,30,0,8490,330
203,0,0,859,76,58,3,49822,45414
256,7,0,709,390,31,2,21979,9889
219,9,1,879,67,64,3,56256,51968
125,4,1,337,268,19,2,6403,1311
59,5,1,103,92,48,1,4944,528
63,7,1,337,139,45,1,15165,8910
130,4,1,130,119,94,3,12220,1034
74,1,1,270,181,55,3,14850,4895
133,9,0,402,391,55,1,22110,605
178,1,1,26,15,97,2,2522,1067
110,9,0,478,218,18,1,8604,4680
181,5,0,103,92,63,3,6489,693
238,7,1,227,216,92,1,20884,1012
85,0,0,919,125,47,3,43193,37318
12,1,0,409,273,75,3,30675,10200
204,1,0,333,322,57,1,18981,627
155,2,0,41,30,45,2,1845,495
39,9,0,429,418,33,0,14157,363
41,8,0,914,462,17,1,15538,7684
238,7,0,534,486,70,0,37380,3360
264,9,0,146,135,4,1,584,44
120,2,1,828,312,20,0,16560,10320
203,3,0,719,320,47,2,33793,18753
73,9,0,893,217,91,2,81263,61516
209,0,1,33,22,15,1,495,165
250,7,0,990,455,70,3,69300,37450
102,2,0,997,679,47,0,46859,14946
84,3,0,31,20,78,3,2418,858
106,6,1,106,64,75,3,7950,3150
197,2,0,543,21,9,3,4887,4698
67,6,0,928,666,90,2,83520,23580
217,7,1,556,409,16,1,8896,2352
174,1,1,320,309,69,1,22080,759
122,2,0,262,251,61,2,15982,671
26,5,0,141,130,10,2,1410,110
116,6,0,166,155,50,1,8300,550
175,0,1,586,246,3,3,1758,1020
17,5,0,769,288,77,0,59213,37037
261,4,1,375,357,94,0,35250,1692
222,4,0,704,636,70,0,49280,4760
7,3,0,923,113,81,3,74763,65610
231,1,0,752,639,51,1,38352,5763
228,7,1,650,526,19,2,12350,2356
23,2,1,328,257,42,1,13776,2982
119,8,1,714,373,35,3,24990,11935
13,0,0,307,296,46,2,14122,506
236,6,1,326,315,26,3,8476,286
189,7,1,831,295,69,0,57339,36984
95,5,1,613,158,93,0,57009,42315
96,4,0,985,93,64,3,63040,57088
57,0,0,933,415,37,2,34521,19166
260,8,0,742,465,84,2,62328,23268
237,2,0,681,670,49,1,33369,539
209,3,1,568,170,21,0,11928,8358
149,8,1,371,360,74,1,27454,814
250,0,1,331,320,64,1,21184,704
36,8,0,892,559,5,3,4460,1665
104,0,0,78,67,70,3,5460,770
128,0,0,662,651,90,1,59580,990
45,9,1,943,518,4,0,3772,1700
132,6,0,733,663,39,3,28587,2730
82,4,0,774,490,35,1,27090,9940
101,9,0,54,43,1,1,54,11
229,2,1,464,123,24,1,11136,8184
41,9,0,112,101,57,1,6384,627
250,1,0,969,587,70,1,67830,26740
221,1,0,978,370,41,1,40098,24928
124,4,0,226,215,54,3,12204,594
116,8,1,372,361,46,0,17112,506
241,6,0,922,770,60,1,55320,9120
195,4,1,351,340,60,2,21060,660
39,0,1,836,189,57,3,47652,36879
65,5,1,881,711,31,3,27311,5270
189,6,0,744,416,84,1,62496,27552
38,6,1,178,167,24,3,4272,264
43,0,0,973,205,89,1,86597,68352
70,0,0,976,475,36,0,35136,18036
3,3,0,43,32,85,0,3655,935
66,4,0,423,271,30,3,12690,4560
137,0,1,824,428,24,3,19776,9504
187,1,1,535,415,30,2,16050,3600
266,2,1,751,152,86,3,64586,51514
257,5,1,383,351,92,2,35236,2944
32,4,1,401,325,7,0,2807,532
261,7,1,551,110,35,0,19285,15435
227,1,0,975,253,55,1,53625,39710
224,8,1,171,160,92,0,15732,1012
97,0,0,581,21,14,2,8134,7840
193,7,1,708,248,10,3,7080,4600
81,0,0,966,570,80,1,77280,31680
68,6,1,627,51,16,2,10032,9216
108,1,1,636,625,54,3,34344,594
99,6,0,439,428,95,1,41705,1045
98,3,1,269,258,89,0,23941,979
77,6,0,136,125,77,2,10472,847
234,3,1,885,225,70,3,61950,46200
199,3,1,531,520,44,1,23364,484
57,7,0,759,471,73,1,55407,21024
41,0,1,597,143,45,0,26865,20430
254,8,1,354,76,56,3,19824,15568
160,6,0,437,16,84,0,36708,35364
75,1,0,951,535,82,0,77982,34112
233,3,1,793,82,57,3,45201,40527
202,0,1,314,303,21,3,6594,231
84,5,0,957,414,68,3,65076,36924
86,4,0,774,684,50,2,38700,4500
41,7,0,390,379,33,3,12870,363
79,8,1,205,139,91,1,18655,6006
0,9,1,265,254,7,0,1855,77
168,7,1,656,215,70,2,45920,30870
211,5,1,287,276,15,3,4305,165
60,4,0,662,651,82,2,54284,902
83,5,1,256,245,32,3,8192,352
76,6,1,549,546,75,2,41175,225
33,3,0,571,262,20,0,11420,6180
56,8,0,40,29,88,0,3520,968
166,2,0,930,173,15,1,13950,11355
196,3,0,756,104,48,1,36288,31296
131,2,0,886,791,71,3,62906,6745
134,4,1,813,119,21,0,17073,14574
49,0,0,539,345,42,2,22638,8148
201,9,1,119,108,26,2,3094,286
256,1,1,771,390,14,2,10794,5334
175,3,0,497,445,57,1,28329,2964
52,8,1,618,492,37,2,22866,4662
105,5,1,317,34,58,1,18386,16414
97,8,0,959,662,21,1,20139,6237
54,4,0,545,126,82,3,44690,34358
127,2,1,353,342,69,2,24357,759
207,5,0,21,10,3,2,63,33
153,1,1,394,383,87,0,34278,957
49,1,1,312,88,90,3,28080,20160
32,3,0,856,589,37,0,31672,9879
58,4,1,953,182,88,3,83864,67848
167,0,0,572,21,49,2,28028,26999
143,4,1,337,137,19,1,6403,3800
152,2,0,521,510,89,1,46369,979
249,8,0,847,101,85,1,71995,63410
26,1,1,400,389,12,1,4800,132
64,8,1,642,552,61,1,39162,5490
210,8,1,33,22,41,0,1353,451
179,8,1,523,512,33,3,17259,363
154,1,0,250,239,50,2,12500,550
262,7,1,103,92,68,0,7004,748
16,6,0,149,138,71,3,10579,781
176,2,0,762,52,86,1,65532,61060
6,7,1,857,263,33,3,28281,19602
174,2,1,164,139,81,3,13284,2025
240,5,0,910,69,24,1,21840,20184
64,4,0,876,672,61,1,53436,12444
211,4,1,47,36,61,1,2867,671
124,9,1,85,74,98,2,8330,1078
155,4,0,182,171,28,1,5096,308
176,1,1,248,237,58,2,14384,638
99,0,0,280,269,43,1,12040,473
60,3,0,468,354,41,2,19188,4674
182,9,0,443,432,39,3,17277,429
240,3,0,479,391,86,0,41194,7568
2,2,1,971,788,49,3,47579,8967
10,3,0,695,684,17,3,11815,187
203,3,1,320,262,98,1,31360,5684
246,9,0,938,65,70,2,65660,61110
